bar_type,trade_date,day_bar,start_time,end_time,open,high,low,close,volume,turnover,minutes,partial
turnover,2024-01-05,38,2024-01-05 14:36:00,2024-01-05 14:39:00,3320.87,3320.87,3317.64,3317.64,260223000.0,3965334800.0,4,False
turnover,2024-01-05,39,2024-01-05 14:40:00,2024-01-05 14:43:00,3317.12,3317.12,3314.66,3314.8,283454300.0,4276887900.0,4,False
turnover,2024-01-05,40,2024-01-05 14:44:00,2024-01-05 14:48:00,3317.56,3322.51,3317.56,3321.74,256386000.0,4021626600.0,5,False
turnover,2024-01-05,41,2024-01-05 14:49:00,2024-01-05 14:53:00,3323.73,3326.95,3323.73,3326.95,292642700.0,4243130200.0,5,False
turnover,2024-01-05,42,2024-01-05 14:54:00,2024-01-05 15:00:00,3327.5,3329.11,3327.15,3329.11,288490800.0,4657921800.0,7,False
turnover,2024-01-08,0,2024-01-08 09:30:00,2024-01-08 09:30:00,3318.93,3318.93,3318.93,3318.93,354078200.0,4646730700.0,1,False
turnover,2024-01-08,1,2024-01-08 09:31:00,2024-01-08 09:32:00,3329.86,3330.07,3329.86,3330.07,398295700.0,5447022500.0,2,False
turnover,2024-01-08,2,2024-01-08 09:33:00,2024-01-08 09:34:00,3331.04,3331.04,3328.06,3328.06,293540800.0,4491967400.0,2,False
turnover,2024-01-08,3,2024-01-08 09:35:00,2024-01-08 09:36:00,3325.28,3327.06,3325.28,3327.06,250977900.0,4030699100.0,2,False
turnover,2024-01-08,4,2024-01-08 09:37:00,2024-01-08 09:39:00,3325.9,3325.9,3324.75,3325.6,297114100.0,4807522100.0,3,False
turnover,2024-01-08,5,2024-01-08 09:40:00,2024-01-08 09:42:00,3322.35,3322.35,3319.97,3320.97,338725300.0,5050027100.0,3,False
turnover,2024-01-08,6,2024-01-08 09:43:00,2024-01-08 09:45:00,3319.64,3322.06,3317.3,3322.06,267386700.0,4151207300.0,3,False
turnover,2024-01-08,7,2024-01-08 09:46:00,2024-01-08 09:48:00,3325.53,3325.53,3315.99,3315.99,252182900.0,3900870700.0,3,False
turnover,2024-01-08,8,2024-01-08 09:49:00,2024-01-08 09:52:00,3313.01,3317.13,3313.01,3313.95,289149200.0,4584413300.0,4,False
turnover,2024-01-08,9,2024-01-08 09:53:00,2024-01-08 09:56:00,3311.52,3311.52,3306.1,3308.1,304027100.0,4517256400.0,4,False
turnover,2024-01-08,10,2024-01-08 09:57:00,2024-01-08 10:00:00,3308.95,3308.95,3304.29,3304.29,277057000.0,4257033300.0,4,False
turnover,2024-01-08,11,2024-01-08 10:01:00,2024-01-08 10:05:00,3303.97,3308.5,3303.97,3308.5,306968100.0,4386786200.0,5,False
turnover,2024-01-08,12,2024-01-08 10:06:00,2024-01-08 10:11:00,3308.58,3309.8,3304.77,3304.77,284086900.0,4497448100.0,6,False
turnover,2024-01-08,13,2024-01-08 10:12:00,2024-01-08 10:16:00,3302.32,3302.32,3298.75,3298.75,235903600.0,4070277000.0,5,False
turnover,2024-01-08,14,2024-01-08 10:17:00,2024-01-08 10:22:00,3301.39,3303.89,3301.39,3303.84,255070500.0,4192821700.0,6,False
turnover,2024-01-08,15,2024-01-08 10:23:00,2024-01-08 10:28:00,3302.4,3302.4,3297.51,3297.51,238344800.0,3838745900.0,6,False
